place_id,名稱,地址,評分,評論數,經度,緯度,行政區
ChIJGaGfs4YXbjQRVpiLNEbEY-k,國民餐廳（不定時休假 於Fb、IG 公告）建議用餐前致電詢問,900台灣屏東縣屏東市崇明三街39號,4.1,432,120.4783234,22.6820624,行政區
ChIJ3bljQwEFbjQRxO7mDSl8kqU,Ripple 西餐廳,"20樓, No. 366號明華路鼓山區高雄市台灣 804",4.1,1321,120.3022409,22.662684,行政區
ChIJgXLopKIEbjQRry-hVc2NyMg,長堤101英式茶館&歐式廚房,802台灣高雄市苓雅區和平一路101號,4.3,500,120.32112,22.621699,行政區
ChIJ-Q69Kg0bbjQROkHz1vqOJAc,簡單生活鳳林店,831台灣高雄市大寮區鳳林四路398-12號,3.9,734,120.3803855,22.6214595,行政區
ChIJk4FkXKcFbjQRCzcg79T_pWU,芳園館(最後收客為打烊前一小時),830台灣高雄市鳳山區府前路29號,4.7,617,120.3435645,22.6290606,行政區
ChIJw6muLk4DbjQR6t0AV_I-d1g,咕嚕咕嚕家うちりょうり｜高雄鳳山五甲｜人氣日本料理｜媒體報導｜豬排丼飯｜咖哩飯｜巨大恐怖料理,830台灣高雄市鳳山區五甲二路468號,4.4,1965,120.3353177,22.5978163,行政區
ChIJnWz7LJgEbjQRl0d9mKk4V_g,青木堂-苓雅店,802台灣高雄市苓雅區林泉街77號,4.8,6799,120.3177573,22.6228265,行政區
ChIJl2QPipcEbjQRzCvHLZR-I3Y,韓月食堂文化店,802台灣高雄市苓雅區林泉街49號,4.3,1001,120.3186413,22.6231206,行政區
ChIJaUUDUhsRbjQRlN0v-AEv4xI,Casa Fontana 義大利餐廳,840台灣高雄市大樹區學城路一段153號LB樓層,4.1,204,120.4024278,22.7298216,行政區
ChIJ0e_YJ5gEbjQRQPF16rpSt8E,卡司．高雄文化中心(韓義料理),802台灣高雄市苓雅區林泉街57號,4.1,1034,120.3183419,22.623021,行政區
ChIJDa_F0oEbbjQRmJsWb5dSbic,飽嘟嘟餐廳,831台灣高雄市大寮區Unnamed Road,4,33,120.3902047,22.6001585,行政區
ChIJa9JO-YobbjQRbqq7WgGZcFg,鼎膳堂-小籠湯包&水晶餃,802台灣高雄市苓雅區澄清路175號,4.9,147,120.3443433,22.6334329,行政區
ChIJR3CKhi8bbjQRJoCrjNCzBHY,柬埔寨特色料理淑萍的店,830台灣高雄市鳳山區八德路328號,4.3,171,120.3547881,22.6392495,行政區
ChIJx2o3O4QFbjQRVSU6gg0y9T8,何老大手作蔬食,830台灣高雄市鳳山區光復路二段249號,4.3,195,120.3431865,22.6293168,行政區
ChIJEVVltvMbbjQRf2S21Azn_KI,釀咖哩NiangCurry【新上市香料奶油雞肉咖哩】,830台灣高雄市鳳山區文化西路176號,4.7,390,120.3459099,22.6351482,行政區
ChIJNdxI7i0bbjQRSl2z-muA4T0,一品圓食堂,807台灣高雄市三民區文濱路49號,4.1,749,120.3483797,22.6398325,行政區
ChIJ-1chQSo7bjQRMQBMKKNyCnU,觀景樓休閒餐廳/冷氣開放/屏東三地門/三地門美食/三地門餐廳/三地門土雞城/三地門桶子雞/鱸鰻料理/泰國蝦/活魚料理/屏東景觀餐廳三地門景點/三地門網美打卡景點/三地門特色餐廳料理/三地門私房料理,901台灣屏東縣三地門鄉中正路一段75號,4.7,1044,120.6507148,22.7129968,行政區
ChIJU5nT8pIbbjQRdeoOIFZ3-ks,麥料食堂 ⚠️店休日依粉專為主 ⚠️忙碌時間無法接聽電話 ⚠️善用line訂餐｜台式家常料理｜高雄海鮮粥｜高雄肉燥飯｜鳳山美食｜衛武營美食,830台灣高雄市鳳山區澄清路85號,4.6,389,120.3442747,22.6284227,行政區
ChIJyVAMKywbbjQRMzfYtmDd2mE,鮨己越,830台灣高雄市鳳山區文龍路13號,4.6,231,120.3505275,22.6431359,行政區
